teamID,yearID,total_payroll,winning_pct,franchID,W,G
HOU,2003,71040000,53.7037037,HOU,87,162
LAN,2003,105572620,52.4691358,LAD,85,162
MIL,2003,40627000,41.97530864,MIL,68,162
MON,2003,51948500,51.2345679,WSN,83,162
NYN,2003,116876429,40.99378882,NYM,66,161
PHI,2003,70780000,53.08641975,PHI,86,162
PIT,2003,54812429,46.2962963,PIT,75,162
SDN,2003,45210000,39.50617284,SDP,64,162
SFN,2003,82852167,62.11180124,SFG,100,161
SLN,2003,83786666,52.4691358,STL,85,162
ANA,2004,100534667,56.79012346,ANA,92,162
BAL,2004,51623333,48.14814815,BAL,78,162
BOS,2004,127298500,60.49382716,BOS,98,162
CHA,2004,65212500,51.2345679,CHW,83,162
CLE,2004,34319300,49.38271605,CLE,80,162
DET,2004,46832000,44.44444444,DET,72,162
KCA,2004,47609000,35.80246914,KCR,58,162
MIN,2004,53585000,56.79012346,MIN,92,162
NYA,2004,184193950,62.34567901,NYY,101,162
OAK,2004,59425667,56.17283951,OAK,91,162
SEA,2004,81515834,38.88888889,SEA,63,162
TBA,2004,29556667,43.47826087,TBD,70,161
TEX,2004,55050417,54.9382716,TEX,89,162
TOR,2004,50017000,41.61490683,TOR,67,161
ARI,2004,69780750,31.48148148,ARI,51,162
ATL,2004,90182500,59.25925926,ATL,96,162
CHN,2004,90560000,54.9382716,CHC,89,162
CIN,2004,46615250,46.91358025,CIN,76,162
COL,2004,65445167,41.97530864,COL,68,162
FLO,2004,42143042,51.2345679,FLA,83,162
HOU,2004,75397000,56.79012346,HOU,92,162
LAN,2004,92902001,57.40740741,LAD,93,162
MIL,2004,27528500,41.61490683,MIL,67,161
MON,2004,40897500,41.35802469,WSN,67,162
NYN,2004,96660970,43.82716049,NYM,71,162
PHI,2004,92919167,53.08641975,PHI,86,162
PIT,2004,32227929,44.72049689,PIT,72,161
SDN,2004,55384833,53.7037037,SDP,87,162
SFN,2004,82019166,56.17283951,SFG,91,162
SLN,2004,83228333,64.81481481,STL,105,162
BAL,2005,73914333,45.67901235,BAL,74,162
BOS,2005,123505125,58.64197531,BOS,95,162
CHA,2005,75178000,61.11111111,CHW,99,162
CLE,2005,41502500,57.40740741,CLE,93,162
DET,2005,69092000,43.82716049,DET,71,162
KCA,2005,36881000,34.56790123,KCR,56,162
LAA,2005,94867822,58.64197531,ANA,95,162
MIN,2005,56186000,51.2345679,MIN,83,162
NYA,2005,208306817,58.64197531,NYY,95,162
OAK,2005,55425762,54.32098765,OAK,88,162
SEA,2005,87754334,42.59259259,SEA,69,162
TBA,2005,29679067,41.35802469,TBD,67,162
TEX,2005,55849000,48.7654321,TEX,79,162
TOR,2005,45719500,49.38271605,TOR,80,162
ARI,2005,62329166,47.5308642,ARI,77,162
ATL,2005,86457302,55.55555556,ATL,90,162
CHN,2005,87032933,48.7654321,CHC,79,162
CIN,2005,61892583,44.78527607,CIN,73,163
COL,2005,47839000,41.35802469,COL,67,162
FLO,2005,60408834,51.2345679,FLA,83,162
